(62.41523742675781, 51.771339416503906)
(60.443328857421875, 49.58058166503906)
(50.395965576171875, 48.4058952331543)
(50.09535217285156, 48.3604736328125)
(48.962493896484375, 47.6828498840332)
(47.00436782836914, 47.57833480834961)
(46.60071563720703, 47.00394058227539)
(46.201812744140625, 46.00872802734375)
(44.49903106689453, 45.20250701904297)
(42.21412658691406, 45.09772872924805)
(41.51140213012695, 44.856483459472656)
(39.36349105834961, 43.92683029174805)
(38.42680358886719, 42.40605926513672)
(38.32551956176758, 39.93841552734375)
(37.0828857421875, 38.0572509765625)
(35.328330993652344, 37.88522720336914)
(33.43031311035156, 37.09632110595703)
(33.40251159667969, 37.08586120605469)
(32.85221862792969, 36.52269744873047)
(32.65839385986328, 35.995460510253906)
(32.103271484375, 35.43956756591797)
(31.540451049804688, 35.101722717285156)
(31.334463119506836, 34.677249908447266)
(30.665040969848633, 34.671966552734375)
(29.508628845214844, 33.71261978149414)
(28.020959854125977, 33.240821838378906)
(27.864959716796875, 33.109378814697266)
(26.729293823242188, 32.30448532104492)
(26.581073760986328, 32.16188430786133)
(26.2508487701416, 32.065589904785156)
(25.86623764038086, 31.967214584350586)
(25.863801956176758, 31.708240509033203)
(25.811365127563477, 31.598407745361328)
(25.526132583618164, 31.183517456054688)
(25.486494064331055, 30.56450653076172)
(25.414024353027344, 30.43515968322754)
(25.3358211517334, 30.405914306640625)
(25.14497184753418, 30.325027465820312)
(24.865886688232422, 30.272296905517578)
(24.317829132080078, 29.90470314025879)
(23.89185333251953, 29.797090530395508)
(23.567712783813477, 29.318788528442383)
(23.29435157775879, 29.30184555053711)
(23.291770935058594, 29.110960006713867)
(23.091068267822266, 28.63237190246582)
(22.898935317993164, 28.576446533203125)
(22.550865173339844, 28.379308700561523)
(22.50556755065918, 28.36042022705078)
(22.469120025634766, 28.230497360229492)
(21.411046981811523, 28.198514938354492)
(21.120765686035156, 28.110000610351562)
(20.902616500854492, 28.075613021850586)
(20.688013076782227, 27.963748931884766)
(20.63765525817871, 27.807294845581055)
(20.537689208984375, 27.57442283630371)
(20.440317153930664, 27.572246551513672)
(20.250621795654297, 27.528301239013672)
(19.98428726196289, 27.473201751708984)
(19.90804672241211, 26.853818893432617)
(19.875181198120117, 26.750364303588867)
(19.747209548950195, 26.678428649902344)
(19.70123291015625, 26.66294288635254)
(19.650625228881836, 26.47254180908203)
(19.630151748657227, 26.411062240600586)
(19.544523239135742, 26.3275203704834)
(19.479581832885742, 26.290258407592773)
(19.417991638183594, 26.260671615600586)
(19.20298957824707, 25.98765754699707)
(19.185182571411133, 25.90302276611328)
(19.1265926361084, 25.811779022216797)
(19.073225021362305, 25.756370544433594)
(18.980859756469727, 25.73119354248047)
(18.9444522857666, 25.667245864868164)
(18.91639518737793, 25.62616729736328)
(18.870590209960938, 25.5684757232666)
(18.81533432006836, 25.44921875)
(18.802200317382812, 25.41226577758789)
(18.79392433166504, 25.317777633666992)
(18.780080795288086, 25.298460006713867)
(18.749387741088867, 25.250173568725586)
(18.698266983032227, 25.15839385986328)
(18.512657165527344, 25.035146713256836)
(18.473649978637695, 25.021286010742188)
(18.449527740478516, 24.803871154785156)
(18.414060592651367, 24.71742820739746)
(18.32196807861328, 24.670162200927734)
(18.12428092956543, 24.237537384033203)
(18.076147079467773, 24.212331771850586)
(18.05048942565918, 24.1649227142334)
(17.87944793701172, 24.134944915771484)
(17.777402877807617, 24.110519409179688)
(17.630878448486328, 24.068525314331055)
(17.546043395996094, 24.041868209838867)
(17.43242073059082, 23.756723403930664)
(17.376117706298828, 23.75568199157715)
(17.169509887695312, 23.735807418823242)
(17.137466430664062, 23.656036376953125)
(17.02608871459961, 23.625682830810547)
(17.021068572998047, 23.537431716918945)
(16.90043067932129, 23.421537399291992)
(16.880386352539062, 23.413963317871094)
(16.8421573638916, 23.36989974975586)
(16.776668548583984, 23.318405151367188)
